Title,imdbRating,imdbVotes,Metascore,Runtime,Year,Genre1,Genre2,Rated,Director,Actors1,Actors2,Country,Writer,Awards,Released,imdbID,Plot,Poster
Like Dandelion Dust,7.1,2330,N/A,100,2009,Drama,Drama,PG-13,Jon Gunn,Mira Sorvino,Barry Pepper,USA,"Stephen J. Rivele (screenplay), Michael Lachance (screenplay), Karen Kingsbury (novel)",19 wins.,24-Sep-10,tt0981042,"A compelling drama that explores the different meanings of being a parent through the gritty, realistic lives of the struggling, blue-collar Porters, and the privileged Campbell family. ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMTYxMDM1OTM4OV5BMl5BanBnXkFtZTcwNDk3NTk0Mw@@._V1_SX300.jpg
Damage,6.9,12384,N/A,111,1992,Drama,Romance,R,Louis Malle,Jeremy Irons,Juliette Binoche,UK,"David Hare (screenplay), Josephine Hart (novel)",Nominated for 1 Oscar. Another 6 wins & 4 nominations.,22-Jan-93,tt0104237,A member of Parliament falls passionately in love with his son's fiancÌ©e despite the dangers of discovery.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxNDkwMjg2MV5BMl5BanBnXkFtZTcwNTIyMzMzMQ@@._V1_SX300.jpg
Video Vixens,4.2,10,N/A,75,2006,N/A,N/A,N/A,Melvin James,April Eden,Baje Fletcher,USA,Melvin James,N/A,6-Jun-06,tt0825680,Today's Hottest Music video models and Internet superstars explode off the screen in sexy segments driven by the hottest music. All models have starred in and have been featured in some of ...,https://images-na.ssl-images-amazon.com/images/M/MV5BMjIwMzM5ODIzNV5BMl5BanBnXkFtZTgwMjkyMTA2MDE@._V1_SX300.jpg
Revenge of the Green Dragons,5.3,2866,36,94,2014,Action,Crime,R,Wai-Keung Lau,Justin Chon,Kevin Wu,Hong Kong,"Michael Di Jiacomo, Andrew Loo",N/A,11-Sep-14,tt1396523,Two best friends rise through the ranks of New York's Chinese underworld in the 1980s.,N/A
Jason X,4.4,39350,25,91,2001,Action,Horror,R,James Isaac,Kane Hodder,Jeff Geddis,USA,"Victor Miller (characters), Todd Farmer",1 nomination.,26-Apr-02,tt0211443,"Jason Voorhees returns with a new look, a new machete, and his same murderous attitude as he is awakened on a spaceship in the 25th century.",https://images-na.ssl-images-amazon.com/images/M/MV5BYzc0MDllYjktYzFjZi00OTgwLWJmZWMtODlmMTVlODQyZTgwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Darkman,6.4,48314,65,96,1990,Action,Crime,R,Sam Raimi,Liam Neeson,Frances McDormand,USA,"Sam Raimi (story), Chuck Pfarrer (screenplay), Sam Raimi (screenplay), Ivan Raimi (screenplay), Daniel Goldin (screenplay), Joshua Goldin (screenplay)",2 wins & 7 nominations.,24-Aug-90,tt0099365,A brilliant scientist left for dead returns to exact revenge on the people who burned him alive.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc5MzUxMjk4NF5BMl5BanBnXkFtZTgwNTEzNDk4NjE@._V1_SX300.jpg
United 93,7.6,84359,90,111,2006,Drama,History,R,Paul Greengrass,J.J. Johnson,Gary Commock,USA,Paul Greengrass,Nominated for 2 Oscars. Another 27 wins & 46 nominations.,28-Apr-06,tt0475276,"A real-time account of the events on United Flight 93, one of the planes hijacked on September 11th, 2001 that crashed near Shanksville, Pennsylvania when passengers foiled the terrorist plot.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTI1Nzc3NjAwOF5BMl5BanBnXkFtZTcwNzYzMjYzMQ@@._V1_SX300.jpg
Vikingdom,3.4,2735,39,114,2013,Action,Adventure,N/A,Yusry Abd Halim,Dominic Purcell,Natassia Malthe,Malaysia,James Coyne,N/A,4-Oct-13,tt1785669,"A forgotten king, Eirick, is tasked with the impossible odds to defeat Thor, the God of Thunder.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTc3ODIzMDMwMl5BMl5BanBnXkFtZTgwMDY1NDg5MjE@._V1_SX300.jpg
Undercurrent,6.6,2019,N/A,116,1946,Drama,Film-Noir,APPROVED,Vincente Minnelli,Katharine Hepburn,Robert Taylor,USA,"Thelma Strabel (story), Edward Chodorov (screenplay)",N/A,28-Nov-46,tt0039066,Middle-aged bride Ann Hamilton soon begins to suspect that her charming husband is really a psychotic who plans to murder her.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk1OTg4MDAxNV5BMl5BanBnXkFtZTcwMjAxOTcxMQ@@._V1_SX300.jpg
White Oleander,7.2,25769,61,109,2002,Drama,Drama,PG-13,Peter Kosminsky,Amy Aquino,John Billingsley,USA,"Janet Fitch (novel), Mary Agnes Donoghue (screenplay)",3 wins & 7 nominations.,11-Oct-02,tt0283139,A teenager journeys through a series of foster homes after her mother goes to prison for committing a crime of passion.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI4NzYwOTM5MF5BMl5BanBnXkFtZTYwNDM4NDg2._V1_SX300.jpg
White Sands,6,5617,N/A,101,1992,Action,Crime,R,Roger Donaldson,Willem Dafoe,Mary Elizabeth Mastrantonio,USA,Daniel Pyne,N/A,24-Apr-92,tt0105813,"A small southwestern town sheriff finds a body in the desert with a suitcase and $500,000. He impersonates the man and stumbles into an FBI investigation.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTk0MTgwNDM4N15BMl5BanBnXkFtZTcwNDY5MDMyMQ@@._V1_SX300.jpg
White Nights,6.6,5331,46,136,1985,Drama,Drama,PG-13,Taylor Hackford,Mikhail Baryshnikov,Gregory Hines,USA,"James Goldman (screenplay), Eric Hughes (screenplay), James Goldman (story)",Won 1 Oscar. Another 2 wins & 2 nominations.,6-Dec-85,tt0090319,An expatriate Russian dancer is on a plane forced to land on Soviet territory. He is taken to an apartment in which a black American who has married a Russian woman lives with her. He is to...,https://images-na.ssl-images-amazon.com/images/M/MV5BNDYzNDM4MzY2Nl5BMl5BanBnXkFtZTcwNzA0MjA0MQ@@._V1_SX300.jpg
In Our Time,6.6,329,N/A,110,1944,Drama,Drama,APPROVED,Vincent Sherman,Ida Lupino,Paul Henreid,USA,"Ellis St. Joseph (original screenplay), Howard Koch (original screenplay)",N/A,19-Feb-44,tt0036952,"It is early 1939 in Poland when Mrs. Bromley and Jennifer come to buy antiques for her business in London. Jennifer meets Count Stephen and they wine, dine and see the sights though out the...",http://ia.media-imdb.com/images/M/MV5BMzViMTJkYTMtNmNkNS00ZmI2LWJiMTUtN2Q4NzkxZDQwZTBkXkEyXkFqcGdeQXVyMTYzNTE3NDA@._V1_SX300.jpg
Vigilante Diaries,5.3,2322,N/A,107,2016,Action,Action,R,Christian Sesma,Jason Mewes,Quinton 'Rampage' Jackson,USA,"Christian Sesma, Paul Sloan",N/A,24-Jun-16,tt3903852,"The Vigilante Diaries is a high octane action-adventure film featuring 90's movie heroes, explosive action, and international espionage. The film revolves around a team of black-ops agents ...",https://images-na.ssl-images-amazon.com/images/M/MV5BODc0MTkzMDU0M15BMl5BanBnXkFtZTgwMzMwMTIxOTE@._V1_SX300.jpg
White of the Eye,6.4,1171,N/A,110,1987,Horror,Thriller,R,Donald Cammell,David Keith,Cathy Moriarty,UK,"China Kong, Donald Cammell, Andrew Klavan (novel), Laurence Klavan (novel)",N/A,20-May-88,tt0094320,"In a wealthy and isolated desert community, a sound expert is targeted as the prime suspect of a series of brutal murders of local suburban housewives who were attacked and mutilated in ...",https://images-na.ssl-images-amazon.com/images/M/MV5BNjM1Zjc3ZGQtMGZlYi00YWNlLThlYTUtNGI5OWExOWI5YTFmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
The Angriest Man in Brooklyn,5.7,16569,21,83,2014,Comedy,Drama,R,Phil Alden Robinson,Robin Williams,Mila Kunis,USA,"Daniel Taplitz (screenplay), Assi Dayan (based on the film ""The 92 Minutes of Mr. Baum"" written by)",N/A,23-May-14,tt1294970,A perpetually angry man is informed he has 90 minutes to live and promptly sets out to reconcile with his family and friends in the short time he has left.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjAxMTU5Mjk4OF5BMl5BanBnXkFtZTgwMTM4NDQ3MTE@._V1_SX300.jpg
The Angels' Share,7,18336,66,101,2012,Comedy,Crime,N/A,Ken Loach,Paul Brannigan,Siobhan Reilly,UK,Paul Laverty (screenplay),7 wins & 9 nominations.,1-Jun-12,tt1924394,"Narrowly avoiding jail, new dad Robbie vows to turn over a new leaf. A visit to a whisky distillery inspires him and his mates to seek a way out of their hopeless lives.",https://images-na.ssl-images-amazon.com/images/M/MV5BNzQ0MTg1MzI0Ml5BMl5BanBnXkFtZTcwNDA0MTcyOQ@@._V1_SX300.jpg
Manhattan Night,6.2,5087,44,113,2016,Crime,Drama,R,Brian DeCubellis,Adrien Brody,Yvonne Strahovski,USA,"Brian DeCubellis (screenplay), Colin Harrison (novel)",N/A,20-May-16,tt3100274,A reporter becomes involved with a mysterious woman while investigating her late husband's death.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjQwMDE4NzQ5N15BMl5BanBnXkFtZTgwNzM0NDA3ODE@._V1_SX300.jpg
Jaws: The Revenge,2.9,31253,N/A,89,1987,Adventure,Horror,PG-13,Joseph Sargent,Lorraine Gary,Lance Guest,USA,"Peter Benchley (characters), Michael De Guzman",1 win & 7 nominations.,17-Jul-87,tt0093300,Chief Brody's widow believes that her family is deliberately being targeted by another shark in search of revenge.,https://images-na.ssl-images-amazon.com/images/M/MV5BNGI1MTAxMWItOTE0OC00ZDhkLWE3Y2EtNjFiZmQ4NjQ1NGNkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Fantastic Four,5.7,270307,40,106,2005,Action,Adventure,PG-13,Tim Story,Ioan Gruffudd,Jessica Alba,USA,"Mark Frost, Michael France, Stan Lee (Marvel comic book), Jack Kirby (Marvel comic book)",3 wins & 12 nominations.,8-Jul-05,tt0120667,"A group of astronauts gain superpowers after a cosmic radiation exposure and must use them to oppose the plans of their enemy, Doctor Victor Von Doom.",https://images-na.ssl-images-amazon.com/images/M/MV5BNDMwM2NjOGEtZDE4ZS00MWFmLWIzNTgtN2Y2YjQ4MWIyNDM0XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg
Sniper 3,5.2,3032,N/A,90,2004,Action,Drama,R,P.J. Pesce,Tom Berenger,Byron Mann,USA,"Michael Frost Beckner (characters created by), Crash Leyland (characters created by), J.S. Cardone, Ross Helford",N/A,N/A,tt0408196,Deadly sniper Tom Beckett is recruited by the CIA to go to Ho Chi Minh City and take out a ruthless drug dealer who turns out to be an old war buddy he thought was dead.,N/A
Jawbreaker,5.5,18964,22,87,1999,Comedy,Crime,R,Darren Stein,Rose McGowan,Rebecca Gayheart,USA,Darren Stein,1 nomination.,19-Feb-99,tt0155776,Three of the most popular girls at Reagan High accidentally kill the prom queen with a jawbreaker when a kidnapping goes horribly wrong.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA1MzQ4Mzk3MF5BMl5BanBnXkFtZTcwNTM1OTYxMQ@@._V1_SX300.jpg
The SpongeBob Movie: Sponge Out of Water,6,35174,62,92,2015,Animation,Adventure,PG,Paul Tibbitt,Antonio Banderas,Eric Bauza,USA,"Glenn Berger (screenplay), Jonathan Aibel (screenplay), Stephen Hillenburg (story), Paul Tibbitt (story), Stephen Hillenburg (series ""SpongeBob SquarePants"")",1 win & 6 nominations.,6-Feb-15,tt2279373,"When a diabolical pirate above the sea steals the secret Krabby Patty formula, SpongeBob and his nemesis Plankton must team up in order to get it back.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjYyNDczNTE0MF5BMl5BanBnXkFtZTgwNjkzNDYxMzE@._V1_SX300.jpg
Revenge of the Electric Car,7.1,1461,63,90,2011,Documentary,Documentary,PG-13,Chris Paine,Tim Robbins,Dan Neil,USA,"P.G. Morgan, Chris Paine",1 win & 2 nominations.,20-Jul-12,tt1413496,"Director Chris Paine takes his film crew behind the closed doors of Nissan, GM, and the Silicon Valley start-up Tesla Motors to chronicle the story of the global resurgence of electric cars.","http://ia.media-imdb.com/images/M/MV5BMTM4NjM5OTEwOV5BMl5BanBnXkFtZTcwMzIwOTQ4NA@@._V1._CR29,22,945,1444_SX89_AL_.jpg_V1_SX300.jpg"
Videodrome,7.3,61836,60,87,1983,Horror,Mystery,R,David Cronenberg,James Woods,Sonja Smits,Canada,David Cronenberg,3 wins & 7 nominations.,4-Feb-83,tt0086541,A sleazy cable-TV programmer begins to see his life and the future of media spin out of control in a very unusual fashion when he acquires a new kind of programming for his station.,https://images-na.ssl-images-amazon.com/images/M/MV5BZGJmZmEwYjUtNDdjNS00OGIxLTkyMWItZjNjZDk1MzFhY2Y5XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg
Easy Virtue,6.7,16527,58,97,2008,Comedy,Romance,PG-13,Stephan Elliott,Jessica Biel,Ben Barnes,UK,"Stephan Elliott, Sheridan Jobbins, NoÌÇl Coward (play)",2 wins & 6 nominations.,19-Jun-09,tt0808244,"A young Englishman marries a glamorous American. When he brings her home to meet the parents, she arrives like a blast from the future - blowing their entrenched British stuffiness out the window.",http://ia.media-imdb.com/images/M/MV5BMTI0NDA2NDM4OV5BMl5BanBnXkFtZTcwMjUxODk0Mg@@._V1_SX300.jpg
Eating Out 2: Sloppy Seconds,6.4,3090,39,79,2006,Comedy,Romance,NOT RATED,Phillip J. Bartell,Jim Verraros,Emily Brooke Hands,USA,"Phillip J. Bartell, Q. Allan Brocka",N/A,5-Jul-07,tt0795376,"After Marc dumps him, Kyle unites with Gwen and Tiffani to land sexually confused art model Troy by pretending to be straight. However, Marc wants Troy, too, and members from a notorious ""ex-gay"" group are slipping for the both of them.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTczNjIzOTU4Nl5BMl5BanBnXkFtZTcwNzc0MzI4Mg@@._V1_SX300.jpg
Kirot,N/A,N/A,N/A,N/A,1983,Drama,Romance,N/A,Arsenio Bautista,Stella Strada,Dennis Roldan,Philippines,Mauro Gia Samonte (story and screenplay),N/A,4-Mar-83,tt0442291,N/A,N/A
Video Girl,5.5,597,N/A,95,2011,Drama,Drama,R,Ty Hodges,Meagan Good,Adam Senn,USA,Datari Turner (screenplay),N/A,11-Oct-11,tt1542488,"An aspiring ballerina, after a knee injury, ends up in a new career as a video girl. She soon figures out that fame is not all that it is cracked up to be.",http://ia.media-imdb.com/images/M/MV5BOTU5MTg3MzI0Nl5BMl5BanBnXkFtZTcwMDE5NTI1NQ@@._V1_SX300.jpg
Sniper: Ghost Shooter,5.3,682,N/A,99,2016,Action,Drama,R,Don Michael Paul,Billy Zane,Chad Michael Collins,USA,Chris Hauty,N/A,2-Aug-16,tt5090828,Elite snipers Brandon Beckett (Chad Michael Collins) and Richard Miller (Billy Zane) tasked with protecting a gas pipeline from terrorists looking to make a statement. When battles with the...,https://images-na.ssl-images-amazon.com/images/M/MV5BZGFjOGVjNjctN2ZhZS00MWYxLTk3MGEtZWRjNTgzZmRkZjJlXkEyXkFqcGdeQXVyMjQ1MDE0NzU@._V1_SX300.jpg
Yelling to the Sky,5.9,612,48,94,2011,Drama,Drama,N/A,Victoria Mahoney,Maurice Compte,ZoÌÇ Kravitz,USA,Victoria Mahoney,4 nominations.,11-Mar-11,tt1504508,"As her family falls apart, seventeen year old Sweetness O'Hara is left to fend for herself in a neighborhood where her survival is uncertain.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ0MzA0OTQyNF5BMl5BanBnXkFtZTcwODQ1NjI4OA@@._V1_SX300.jpg
Universal Soldier Regeneration: Behind the Lines,8.3,11,N/A,18,2010,Documentary,Short,N/A,N/A,Andrei Arlovski,Aki Avni,USA,N/A,N/A,2-Feb-10,tt1597524,The making of Universal Soldier: Regeneration (2009).,N/A
Date Movie,2.7,50727,11,83,2006,Comedy,Romance,PG-13,Aaron Seltzer,Alyson Hannigan,Adam Campbell,USA,"Jason Friedberg, Aaron Seltzer",4 wins & 1 nomination.,17-Feb-06,tt0466342,"Spoof of romantic comedies which focuses on a man, his crush, his parents, and her father.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTM0ODY1MDI2NV5BMl5BanBnXkFtZTcwMDQyMDIzMQ@@._V1_SX300.jpg
The Amazing Wizard of Paws,4.3,164,N/A,96,2015,Adventure,Family,N/A,Bryan Michael Stoller,Will Spencer,Paula Devicq,Canada,"Bryan Michael Stoller (story), Bryan Michael Stoller, Bryan Michael Stoller",1 win.,3-Mar-15,tt3762666,A young boy finds out the family dog is actually six-hundred years old and was once owned by a great and powerful wizard.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg5NjU5NzAwOF5BMl5BanBnXkFtZTgwMzcwNjM5MTE@._V1_SX300.jpg
Unknown,6.9,212255,56,113,2011,Action,Mystery,PG-13,Jaume Collet-Serra,Liam Neeson,Diane Kruger,UK,"Oliver Butcher (screenplay), Stephen Cornwell (screenplay), Didier Van Cauwelaert (novel)",3 nominations.,18-Feb-11,tt1401152,"A man awakens from a coma, only to discover that someone has taken on his identity and that no one, (not even his wife), believes him. With the help of a young woman, he sets out to prove who he is.",https://images-na.ssl-images-amazon.com/images/M/MV5BODA4NTk3MTQwN15BMl5BanBnXkFtZTcwNjUwMTMxNA@@._V1_SX300.jpg
Queen Christina,7.9,5623,N/A,99,1933,Biography,Drama,APPROVED,Rouben Mamoulian,Greta Garbo,John Gilbert,USA,"H.M. Harwood (screen play), Salka Viertel (screen play), Salka Viertel (from the original story by), Margaret P. Levino (from the original story by), S.N. Behrman (dialogue)",1 win & 1 nomination.,9-Feb-34,tt0024481,"Queen Christina of Sweden is a popular monarch who is loyal to her country. However, when she falls in love with a Spanish envoy, she must choose between the throne and the man she loves.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjIyMjg1ODk4OF5BMl5BanBnXkFtZTgwNDA0NzkxMjE@._V1_SX300.jpg
Manhattan Murder Mystery,7.4,28714,N/A,104,1993,Comedy,Mystery,PG,Woody Allen,Woody Allen,Diane Keaton,USA,"Woody Allen, Marshall Brickman",Nominated for 1 Golden Globe. Another 3 nominations.,18-Aug-93,tt0107507,A middle-aged couple suspects foul play when their neighbor's wife suddenly drops dead.,https://images-na.ssl-images-amazon.com/images/M/MV5BMWM5MGZiZDAtMWE0Ny00MjY3LWJlOWItNjY4MmI4NDAyM2NhXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg
Northwest Passage,7.1,2502,N/A,126,1940,Adventure,Drama,PASSED,King Vidor,Spencer Tracy,Robert Young,USA,"Laurence Stallings (screenplay), Talbot Jennings (screenplay), Kenneth Roberts (based on the novel by)",N/A,23-Feb-40,tt0032851,"Langdon Towne and Hunk Marriner join Major Rogers' Rangers as they wipe out an Indian village. They set out for Fort Wentworth, but when they arrive they find no soldiers and none of the supplies they expected.",http://ia.media-imdb.com/images/M/MV5BZTUzY2FiZjMtMzkzNS00NTFlLTg1NzAtYTYzOGNhMjVhYjMzXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg
Gigantic,6.1,8448,38,98,2008,Comedy,Drama,R,Matt Aselton,Paul Dano,Zooey Deschanel,USA,"Adam Nagata, Matt Aselton",1 win & 1 nomination.,19-Jun-09,tt1176251,"A mattress salesman finds his plan to adopt a Chinese baby augmented by the arrival of a young woman, who comes into his workplace, falls asleep on one of the beds, and starts to affect his life upon waking up.",http://ia.media-imdb.com/images/M/MV5BMjIxMTUwMjIxM15BMl5BanBnXkFtZTcwMjY2NzAzMg@@._V1_SX300.jpg
White Reindeer,5.7,871,69,82,2013,Comedy,Drama,UNRATED,Zach Clark,Anna Margaret Hollyman,Laura Lemar-Goldsborough,USA,Zach Clark,1 win & 2 nominations.,6-Dec-13,tt2570738,"After an unexpected tragedy, Suzanne struggles to put her life back together during a sad, strange Christmastime in suburban Virginia.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjM1MzE3ODQ1NF5BMl5BanBnXkFtZTgwNzcwODE2MDE@._V1_SX300.jpg
Connie and Carla,6.3,6902,44,98,2004,Comedy,Crime,PG-13,Michael Lembeck,Nia Vardalos,Toni Collette,USA,Nia Vardalos,1 win.,16-Apr-04,tt0345074,"A mob mix-up in Chicago sends two chanteuses screaming for L.A., where they score a perfect gig: posing as drag queens on the dinner theater/cabaret circuit. Things get extra-weird when a guy falls for one of the girls.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTgyMzMyNDU0MV5BMl5BanBnXkFtZTYwMjg4MjI3._V1_SX300.jpg
Private Lessons,5.1,2302,N/A,87,1981,Comedy,Comedy,R,Alan Myerson,Sylvia Kristel,Howard Hesseman,USA,"Dan Greenburg (novel), Dan Greenburg (screenplay)",1 nomination.,28-Aug-81,tt0082948,An immigrant housemaid seduces a 15-year-old boy and later fakes her own death as part of his chauffeur's blackmail plot. Troubles arise when the two start to fall in love.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTIyOTg3NDAzMl5BMl5BanBnXkFtZTcwNjU4NDQzMQ@@._V1_SX300.jpg
Only the Valiant,6.6,866,N/A,105,1951,Adventure,Western,APPROVED,Gordon Douglas,Gregory Peck,Barbara Payton,USA,"Edmund H. North (screenplay), Harry Brown (screenplay), Charles Marquis Warren (novel)",N/A,13-Apr-51,tt0043885,A despised cavalry commander is unfairly blamed by his troop for the death of a popular officer and must redeem himself in front of his men during an Indian attack on the fort.,http://ia.media-imdb.com/images/M/MV5BNzc4MDI3NTk1M15BMl5BanBnXkFtZTcwNTI1MTU3MQ@@._V1_SX300.jpg
Far from Heaven,7.4,36796,84,107,2002,Drama,Romance,PG-13,Todd Haynes,Julianne Moore,Dennis Quaid,USA,Todd Haynes,Nominated for 4 Oscars. Another 100 wins & 86 nominations.,10-Jan-03,tt0297884,"In 1950s Connecticut, a housewife faces a marital crisis and mounting racial tensions in the outside world.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTE5ODI3MTM4OV5BMl5BanBnXkFtZTYwNjE5OTg2._V1_SX300.jpg
