,Dutifulness,Cooperation,Self-consciousness,Orderliness,Achievement striving,Self-efficacy,Activity level,Self-discipline,Excitement-seeking,Cautiousness,Morality,Anxiety,Emotionality,Vulnerability,Immoderation,Sympathy,Friendliness,Modesty,Altruism,Assertiveness,Adventurousness,Gregariousness,Intellect,Imagination,Artistic interests,Depression,Anger,Trust,Cheerfulness,Liberalism,Words,DiversityW,WordL,VERB,NOUN,ADP,.,ADJ,ADV,CONJ,PRON,PRT,NUM,X,Plot,Poster,Rated,Language,Title,Country,Writer,Metascore,imdbRating,Director,Released,Year,Awards,Runtime,imdbVotes,imdbID,Actors1,Actors2,Genre1,Genre2
Nostalgia,0.599844937599,0.706635910773,0.553865490627,0.221332515762,0.32489639352,0.146294803488,0.283183551595,0.205196807778,0.352275878393,0.618720025001,0.956702078457,0.431255206679,0.982649355078,0.581049194758,0.642010435315,0.994567486132,0.239938894703,0.944181838245,0.965703028265,0.388190337044,0.742664609798,0.0988640428885,0.994092886744,0.778967159133,0.978244369883,0.81132502815,0.186269120077,0.193204819164,0.394150015398,0.742449399489,3920.0,0.26556122449,3.58265306122,0.222704081633,0.184183673469,0.0785714285714,0.0941326530612,0.0505102040816,0.072193877551,0.0209183673469,0.165051020408,0.0311224489796,0.00663265306122,0.0,"The Russian poet Andrei Gorchakov, accompanied by guide and translator Eugenia, is traveling through Italy researching the life of an 18th-century Russian composer. In an ancient spa town, ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMjE4MzE2MDYwNl5BMl5BanBnXkFtZTcwMTYyMjAzMQ@@._V1_SX300.jpg,NOT RATED,Italian,Nostalgia,Italy,"Andrei Tarkovsky (screenplay), Tonino Guerra (screenplay)",N/A,8.2,Andrei Tarkovsky,01 Mar 1992,1983,3 wins & 1 nomination.,125,"13,425",tt0086022,Oleg Yankovskiy,Erland Josephson,Drama,Drama
Brothers,0.468286132351,0.694314841905,0.130117324875,0.403524377562,0.426868002372,0.0830344188403,0.219769224788,0.690954793774,0.256293233923,0.529287810173,0.970855702234,0.122032798518,0.717811135276,0.300117544954,0.532432141864,0.77566783499,0.822934026581,0.992315641942,0.787503304994,0.437945852783,0.662590905003,0.771163527915,0.521582755684,0.0410568879364,0.470607913291,0.427720197517,0.230601849429,0.0792871808223,0.925295040877,0.0803889540674,7713.0,0.143005315701,2.97744068456,0.190198366394,0.156359393232,0.0464151432646,0.259432127577,0.0339686244004,0.0613250356541,0.0101127965772,0.157396603138,0.0256709451575,0.0046674445741,0.0,A young man comforts his older brother's wife and children after he goes missing in Afghanistan.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTkyMTY5MTcxOV5BMl5BanBnXkFtZTcwMTI3MDE3Mg@@._V1_SX300.jpg,R,English,Brothers,USA,"David Benioff (screenplay), Susanne Bier (motion picture ""Brødre""), Anders Thomas Jensen (motion picture ""Brødre"")",58,7.1,Jim Sheridan,04 Dec 2009,2009,Nominated for 2 Golden Globes. Another 3 wins & 13 nominations.,105,"89,155",tt0765010,Tobey Maguire,Jake Gyllenhaal,Drama,Thriller
Far from the Madding Crowd,0.808321980785,0.86698747197,0.308712363285,0.356660575487,0.657382528194,0.239962972528,0.258931053459,0.734528558394,0.0621962527502,0.911950524596,0.995536564701,0.0905240570408,0.665142337084,0.213147560997,0.344612987024,0.94399485105,0.361479244868,0.982626721178,0.828495634903,0.527808222742,0.524602052989,0.0800746996937,0.980266290247,0.0786415314969,0.650031571795,0.292541641561,0.0708877634155,0.113416584178,0.496933792676,0.219053650215,16144.0,0.128778493558,3.24405351833,0.202923686819,0.177898909812,0.0537661050545,0.213330029732,0.0392096134787,0.0638627353816,0.0177155599604,0.130574826561,0.0237239841427,0.00613230921705,0.0,"In Victorian England, the independent and headstrong Bathsheba Everdene attracts three very different suitors: Gabriel Oak, a sheep farmer; Frank Troy, a reckless Sergeant; and William Boldwood, a prosperous and mature bachelor.",https://images-na.ssl-images-amazon.com/images/M/MV5BNzI4NzUwNDgwN15BMl5BanBnXkFtZTgwNTI3MjMwNTE@._V1_SX300.jpg,PG-13,English,Far from the Madding Crowd,UK,"Thomas Hardy (based on the novel by), David Nicholls (screenplay)",71,7.1,Thomas Vinterberg,22 May 2015,2015,6 nominations.,119,"30,858",tt2935476,Carey Mulligan,Matthias Schoenaerts,Drama,Romance
Operation Petticoat,0.626150263925,0.83745496617,0.175075449226,0.62687412985,0.6674826716,0.38112259743,0.421453087026,0.80249102739,0.0759643121324,0.957599267132,0.991044081118,0.0169962653597,0.417913979124,0.067922096156,0.33292650235,0.783299946626,0.539253665817,0.869545502437,0.534311700455,0.534419670625,0.772453856624,0.246364288413,0.943327061894,0.0593405462909,0.415371899083,0.282225462689,0.100362223555,0.330643820645,0.472932348368,0.38209043924,15698.0,0.138425277105,3.31226907886,0.185437635368,0.185055421073,0.0559943941903,0.226971588737,0.0405147152504,0.0534462988916,0.0157981908523,0.119633074277,0.0290482864059,0.0107657026373,0.0,"World War 2 comedy about a submarine commander who finds himself stuck with a decrepit (and pink) sub, a con-man executive officer and a group of army nurses.",http://ia.media-imdb.com/images/M/MV5BNTIzODI5MzU2NF5BMl5BanBnXkFtZTcwOTY4ODgxMQ@@._V1_SX300.jpg,APPROVED,English,Operation Petticoat,USA,"Stanley Shapiro (screenplay), Maurice Richlin (screenplay), Paul King (suggested by a story by), Joseph Stone (suggested by a story by)",N/A,7.3,Blake Edwards,N/A,1959,Nominated for 1 Oscar. Another 1 win & 4 nominations.,124,"9,364",tt0053143,Cary Grant,Tony Curtis,Comedy,Romance
Ghosts of Mars,0.385262911585,0.39840370122,0.149215760024,0.617420167049,0.41328117103,0.451183217289,0.357511731729,0.609190594741,0.336177460535,0.627442018443,0.910002522864,0.0507373455084,0.415431545883,0.0779728760731,0.454723199208,0.551772957651,0.59059499919,0.730414382849,0.422962457871,0.687709904056,0.865808729883,0.507217341401,0.939764781419,0.344069077178,0.451360603123,0.358819327178,0.161014989736,0.171102372895,0.471448843666,0.349210322711,7578.0,0.179730799683,3.36830298232,0.207046714173,0.162971760359,0.0727104776986,0.189495909211,0.0344418052257,0.0601741884402,0.0134600158353,0.135787806809,0.0343098442861,0.00818157825284,0.0,"Years in the future, a Martian police unit is sent to pick up a highly dangerous criminal at a remote mining post. Upon arrival, the cops find that the post has become a charnel house.",https://images-na.ssl-images-amazon.com/images/M/MV5BOGM3NTk3YTYtNGFkNS00ZjZhLTlmNzEtZDNjMDkzMWI3NGNkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,R,English,Ghosts of Mars,USA,"Larry Sulkis, John Carpenter",35,4.9,John Carpenter,24 Aug 2001,2001,1 nomination.,98,"43,359",tt0228333,Natasha Henstridge,Ice Cube,Action,Horror
Vikramarkudu,0.215206051546,0.17266294382,0.155152634445,0.69338500566,0.247856373512,0.381085011299,0.328100707768,0.490270869268,0.451461214008,0.174455667685,0.866774058153,0.239525946582,0.705567466314,0.3133196973,0.203411472601,0.867375296095,0.595090430184,0.936498638576,0.756527331546,0.769461771622,0.575468095284,0.374697563691,0.743745358617,0.434218840309,0.354404069041,0.613117929253,0.751620030253,0.0177899571397,0.501217885481,0.00975433459275,12346.0,0.1594038555,3.3610076138,0.214806415033,0.211890490847,0.0559695447918,0.185404179491,0.0406609428155,0.0653653005022,0.0132026567309,0.12724769156,0.0312651871051,0.00688482099465,0.0,"Vikram Rathod, A sincere Police man joins with a small time thief Satthi Babu who looks identical to him and avenges on those who destroyed him.",http://ia.media-imdb.com/images/M/MV5BYWQzNzdjYTktZGJlMi00YmFhLTgzNjEtZDJhMjZjODM5NjVmXkEyXkFqcGdeQXVyNjE3Mzg5Njk@._V1_SX300.jpg,N/A,Telugu,Vikramarkudu,India,"Vijayendra Prasad, M. Rathnam (dialogue), M. Rathnam",N/A,7.7,S.S. Rajamouli,23 Jun 2006,2006,N/A,140,"2,133",tt0858492,Ravi Teja,Anushka Shetty,Action,Comedy
Quarantine,0.328674300007,0.745103557485,0.119179855744,0.744840843479,0.38755469569,0.138114427655,0.281952830579,0.851572840349,0.193995017439,0.857495381194,0.99000975088,0.0433933488157,0.323422811884,0.147691415301,0.302246572972,0.339862358166,0.682756973463,0.982883187703,0.271296999018,0.370665669263,0.87904301255,0.660403161706,0.586191717941,0.0506126859043,0.45578156751,0.262950758197,0.100995757295,0.0819089670002,0.775385682656,0.113766812227,13212.0,0.0997577959431,2.89562518922,0.186118679988,0.149485316379,0.0490463215259,0.283151680291,0.0279291553134,0.0611565243718,0.00719043293975,0.124205267938,0.0330003027551,0.00522252497729,0.0,"A television reporter and her cameraman are trapped inside a building quarantined by the CDC, after the outbreak of a mysterious virus which turns humans into bloodthirsty killers.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjY0MDgwNTQ4OF5BMl5BanBnXkFtZTcwMzQzNjY3MQ@@._V1_SX300.jpg,R,English,Quarantine,USA,"John Erick Dowdle (screenplay), Drew Dowdle (screenplay), Jaume Balagueró (motion picture ""Rec""), Luiso Berdejo (motion picture ""Rec""), Paco Plaza (motion picture ""Rec"")",53,6.0,John Erick Dowdle,10 Oct 2008,2008,6 nominations.,89,"58,029",tt1082868,Jennifer Carpenter,Steve Harris,Horror,Sci-Fi
Like Dandelion Dust,0.66777753709,0.9367244359,0.136443166028,0.583485761412,0.596473254373,0.0935160312945,0.219302722071,0.848257886035,0.122234504756,0.858356812925,0.998607614659,0.0303033255568,0.616201714725,0.20656168194,0.337900496107,0.824751708796,0.744387169911,0.998527387376,0.772135792349,0.361323602261,0.828303281894,0.610934139575,0.658239644243,0.010452810956,0.539333718497,0.297238439269,0.0458448015098,0.158686487573,0.926994857678,0.0894952493154,11153.0,0.119340087869,2.98574374608,0.194745808303,0.155294539586,0.0436653815117,0.239576795481,0.0393616067426,0.0598941988703,0.0177530709226,0.148749215458,0.0343405361786,0.00546938043576,0.0,"A compelling drama that explores the different meanings of being a parent through the gritty, realistic lives of the struggling, blue-collar Porters, and the privileged Campbell family. ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMTYxMDM1OTM4OV5BMl5BanBnXkFtZTcwNDk3NTk0Mw@@._V1_SX300.jpg,PG-13,English,Like Dandelion Dust,USA,"Stephen J. Rivele (screenplay), Michael Lachance (screenplay), Karen Kingsbury (novel)",N/A,7.1,Jon Gunn,24 Sep 2010,2009,19 wins.,100,"2,330",tt0981042,Mira Sorvino,Barry Pepper,Drama,Drama
Damage,0.852357372854,0.946254944049,0.42206320279,0.124227907481,0.476356003958,0.094270297237,0.222674710288,0.526045028766,0.0935401095089,0.86957903391,0.994853220728,0.243558991129,0.946957124985,0.489240199137,0.577993736314,0.98822239578,0.44554659957,0.98937740271,0.93820409385,0.303086914888,0.444696606338,0.249692803913,0.897377016264,0.136943614756,0.757550994259,0.533195846499,0.0902639145092,0.340072879375,0.729830159029,0.535051169681,6825.0,0.169963369963,3.2380952381,0.221245421245,0.138021978022,0.0591941391941,0.190183150183,0.043663003663,0.0720879120879,0.0108424908425,0.169084249084,0.0306227106227,0.00395604395604,0.0,A member of Parliament falls passionately in love with his son's fiancée despite the dangers of discovery.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxNDkwMjg2MV5BMl5BanBnXkFtZTcwNTIyMzMzMQ@@._V1_SX300.jpg,R,English,Damage,UK,"David Hare (screenplay), Josephine Hart (novel)",N/A,6.9,Louis Malle,22 Jan 1993,1992,Nominated for 1 Oscar. Another 6 wins & 4 nominations.,111,"12,384",tt0104237,Jeremy Irons,Juliette Binoche,Drama,Romance
Video Vixens,0.250424693277,0.555433189645,0.384282980139,0.374125762813,0.408775529922,0.255559837523,0.236070808632,0.277688023659,0.348858014124,0.57072325687,0.856396824364,0.245681490281,0.817617962607,0.266160909301,0.767200274118,0.935292777675,0.475906094233,0.605057669004,0.637143027324,0.496446912176,0.896103203072,0.290114649879,0.996336779637,0.779606175537,0.919506329184,0.566241566249,0.285026026767,0.263936424103,0.368801724759,0.970209766668,11389.0,0.187900605848,3.5016243744,0.180964088155,0.199315128633,0.0737553779963,0.170339801563,0.0589164983756,0.0529458249188,0.0205461410133,0.124067082272,0.0288875230486,0.00447800509263,0.0,Today's Hottest Music video models and Internet superstars explode off the screen in sexy segments driven by the hottest music. All models have starred in and have been featured in some of ...,https://images-na.ssl-images-amazon.com/images/M/MV5BMjIwMzM5ODIzNV5BMl5BanBnXkFtZTgwMjkyMTA2MDE@._V1_SX300.jpg,N/A,English,Video Vixens,USA,Melvin James,N/A,4.2,Melvin James,06 Jun 2006,2006,N/A,75,10,tt0825680,April Eden,Baje Fletcher,N/A,N/A
Revenge of the Green Dragons,0.126234741943,0.181648766015,0.0725990071796,0.645708056094,0.345631521958,0.339203316523,0.280588275674,0.473917928524,0.567754064967,0.203246666439,0.766638112054,0.0714193586574,0.536644036529,0.0760317907517,0.55479077209,0.647787064684,0.785370986884,0.534467129484,0.468781214654,0.783174154704,0.925510454762,0.824992955281,0.963985005065,0.506891370617,0.678114025193,0.346820302037,0.348417516813,0.0712076586689,0.632052834341,0.497548776459,6915.0,0.196384671005,3.3460592914,0.181778741866,0.202313810557,0.0646420824295,0.199276934201,0.0420824295011,0.0503253796095,0.0140274765004,0.126825741142,0.0274765003615,0.00896601590745,0.0,Two best friends rise through the ranks of New York's Chinese underworld in the 1980s.,N/A,R,English,Revenge of the Green Dragons,Hong Kong,"Michael Di Jiacomo, Andrew Loo",36,5.3,Wai-Keung Lau,11 Sep 2014,2014,N/A,94,"2,866",tt1396523,Justin Chon,Kevin Wu,Action,Crime
Congorama,0.236401448207,0.395325279445,0.28246268435,0.593064649067,0.312935074697,0.324167645718,0.230309286639,0.380706879893,0.240362615957,0.43450350415,0.646209532302,0.151126742319,0.352096272843,0.292089731729,0.414269416844,0.827497094897,0.426032219169,0.707630809266,0.472612196068,0.629990583177,0.548581372003,0.213274498911,0.949395861122,0.304536894631,0.547167356612,0.591401842322,0.730291831606,0.138416657147,0.178764258696,0.336612653816,7049.0,0.228259327564,3.34685771031,0.173641651298,0.236487445028,0.0567456376791,0.20513548021,0.0441197332955,0.052347850759,0.0151794580792,0.101858419634,0.0367428003972,0.00893743793446,0.0,"An eccentric Belgian inventor travels to Québec to search for his family, which uncovers a secret history between two seemingly unrelated people.",http://ia.media-imdb.com/images/M/MV5BMTU4ODE2MTIxMV5BMl5BanBnXkFtZTcwMjA4Mzk5Mw@@._V1_SX300.jpg,N/A,French,Congorama,Canada,Philippe Falardeau,N/A,7.2,Philippe Falardeau,17 Jan 2007,2006,5 wins & 3 nominations.,105,"1,053",tt0810809,Olivier Gourmet,Paul Ahmarani,Comedy,Drama
