,Dutifulness,Cooperation,Self-consciousness,Orderliness,Achievement striving,Self-efficacy,Activity level,Self-discipline,Excitement-seeking,Cautiousness,Morality,Anxiety,Emotionality,Vulnerability,Immoderation,Sympathy,Friendliness,Modesty,Altruism,Assertiveness,Adventurousness,Gregariousness,Intellect,Imagination,Artistic interests,Depression,Anger,Trust,Cheerfulness,Liberalism,WORDS,DIVERSITY,LENGTH,VERB,NOUN,ADP,.,ADJ,ADV,CONJ,PRON,PRT,NUM,X,Plot,Rated,Response,Language,Title,Country,Writer,Metascore,imdbRating,Director,Released,Year,Awards,Runtime,Poster,imdbVotes,imdbID,Actors1,Actors2,Genre1,Genre2
Behind the Candelabra 2013.txt,0.594558422424,0.784149399009,0.401534348907,0.15711433525,0.4807003581,0.100417445586,0.224989767072,0.480963535965,0.235483370762,0.66823614294,0.980372860193,0.262791349513,0.903000130025,0.551722763194,0.604763769848,0.952776538059,0.412881340711,0.984375528034,0.871124742719,0.322987661278,0.711833257086,0.264062517079,0.950197759491,0.29188260841,0.847093136049,0.664642697436,0.178589514019,0.159881905353,0.739884048272,0.594014567867,14139.0,0.131975387227,3.17575500389,0.196831459085,0.152556757904,0.062875733786,0.20050922979,0.0402432986774,0.0626635547068,0.018318127166,0.155244359573,0.0294221656411,0.004455760662,0.0108211330363,"A chronicle of the tempestuous six year romance between megastar singer, Liberace, and his teenage lover, Scott Thorson.",TV-MA,True,English,Behind the Candelabra,USA,"Richard LaGravenese (screenplay), Scott Thorson (book), Alex Thorleifson (book)",,7.0,Steven Soderbergh,07 Jun 2013,2013,Won 2 Golden Globes. Another 40 wins & 48 nominations.,118,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg0OTY2OTM0OF5BMl5BanBnXkFtZTcwMTk4OTQ1OQ@@._V1_SX300.jpg,"33,088",tt1291580,Matt Damon, Scott Bakula,Biography, Drama
On Deadly Ground 1994.txt,0.370352940829,0.42025431741,0.120363087135,0.638623214061,0.562363891629,0.511621613913,0.445631205835,0.626965308486,0.302586808035,0.621565614521,0.918286878115,0.0319228007136,0.506210115607,0.0637849195071,0.45691736546,0.837120411133,0.657697829338,0.718389117108,0.618542804855,0.787676553936,0.910202736637,0.496395201919,0.992849580969,0.396803126362,0.632497001988,0.36499247943,0.138024144416,0.20658517897,0.471613729591,0.494895310367,8493.0,0.184975862475,3.43553514659,0.196279288826,0.176851524785,0.0741787354292,0.174496644295,0.0414458966207,0.0620511009066,0.0167196514777,0.127870010597,0.0360296714942,0.00835982573884,0.00294360061227,Mystical martial artist/environmental agent takes on a ruthless oil corporation.,R,True,English,On Deadly Ground,USA,"Ed Horowitz, Robin U. Russin",,4.4,Steven Seagal,18 Feb 1994,1994,1 win & 6 nominations.,101,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk0NjU3ODg3M15BMl5BanBnXkFtZTcwNzc3MTkxMQ@@._V1_SX300.jpg,"18,163",tt0110725,Steven Seagal, Michael Caine,Action, Adventure
Behind Enemy Lines II Axis of Evil 2006.txt,0.476823369686,0.430493464781,0.172224295787,0.774994008122,0.651530270612,0.635129611571,0.562441785468,0.812148556324,0.204691881205,0.851028890903,0.794177517589,0.0253439211752,0.189296110003,0.033876878053,0.0698523684693,0.829187613146,0.548995267647,0.481448931082,0.42665015034,0.812787075513,0.958387536219,0.198155915471,0.99374291411,0.320725500979,0.576238908862,0.274156073167,0.307131813613,0.345904986404,0.271067319464,0.587321168019,10521.0,0.199315654405,3.60840224313,0.163007318696,0.228305294174,0.0667236954662,0.222222222222,0.048379431613,0.0401102556791,0.0107404239141,0.0966638152267,0.0299401197605,0.0160631118715,0.00513259195894,"Navy SEALS, headed by Lt. Bobby James, are dispatched to North Korea on a covert mission, all in an effort to take out a missile site...",R,True,English,Behind Enemy Lines II: Axis of Evil,USA,James Dodson,,4.5,James Dodson,17 Oct 2006,2006,,96,https://images-na.ssl-images-amazon.com/images/M/MV5BMTMwODgyNDMzMV5BMl5BanBnXkFtZTcwMDUyNjQzMQ@@._V1_SX300.jpg,"4,913",tt0497329,Nicholas Gonzalez, Matt Bushell,Action, Thriller
Journey to the Center of the Earth 2012.txt,0.532000768844,0.801790605866,0.851582886236,0.742225587626,0.512783516789,0.714797066157,0.564480240571,0.274724446721,0.328500824474,0.951036762717,0.513983730936,0.155281460387,0.497051912567,0.22663495117,0.193877118033,0.94694467213,0.031188875242,0.397120138578,0.797568336196,0.590791879251,0.827547817961,0.00445887366561,0.999840997303,0.93705270292,0.980810938456,0.750983824773,0.0658096959482,0.75832005902,0.0142590421595,0.991867377034,10739.0,0.19769066021,4.00595958655,0.172362417357,0.235031194711,0.0998230747742,0.115187633858,0.0644380296117,0.0564298351802,0.0315671850265,0.0531706862836,0.0408790390167,0.0180649967409,9.31185399013e-05,"On a quest to find out what happened to his missing brother, a scientist, his nephew and their mountain guide discover a fantastic and dangerous lost world in the center of the earth.",PG,True,English,Journey to the Center of the Earth,USA,"Michael D. Weiss (screenplay), Jennifer Flackett (screenplay), Mark Levin (screenplay), Jules Verne (novel)",57.0,5.8,Eric Brevig,11 Jul 2008,2008,1 win & 3 nominations.,93,http://ia.media-imdb.com/images/M/MV5BMTk1MzY1MzU1MF5BMl5BanBnXkFtZTcwOTQ2NjM3MQ@@._V1_SX300.jpg,"86,002",tt0373051,Brendan Fraser, Josh Hutcherson,Action, Adventure
Like Dandelion Dust 2009.txt,0.66777753709,0.9367244359,0.136443166028,0.583485761412,0.596473254373,0.0935160312945,0.219302722071,0.848257886035,0.122234504756,0.858356812925,0.998607614659,0.0303033255568,0.616201714725,0.20656168194,0.337900496107,0.824751708796,0.744387169911,0.998527387376,0.772135792349,0.361323602261,0.828303281894,0.610934139575,0.658239644243,0.010452810956,0.539333718497,0.297238439269,0.0458448015098,0.158686487573,0.926994857678,0.0894952493154,11153.0,0.119340087869,2.98574374608,0.194745808303,0.155294539586,0.0436653815117,0.239576795481,0.0393616067426,0.0598941988703,0.0177530709226,0.148749215458,0.0343405361786,0.00546938043576,0.00878687348695,"A compelling drama that explores the different meanings of being a parent through the gritty, realistic lives of the struggling, blue-collar Porters, and the privileged Campbell family. ...",PG-13,True,English,Like Dandelion Dust,USA,"Stephen J. Rivele (screenplay), Michael Lachance (screenplay), Karen Kingsbury (novel)",,7.1,Jon Gunn,24 Sep 2010,2009,19 wins.,100,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYxMDM1OTM4OV5BMl5BanBnXkFtZTcwNDk3NTk0Mw@@._V1_SX300.jpg,"2,330",tt0981042,Mira Sorvino, Barry Pepper,Drama,Drama
Damage 1992.txt,0.852357372854,0.946254944049,0.42206320279,0.124227907481,0.476356003958,0.094270297237,0.222674710288,0.526045028766,0.0935401095089,0.86957903391,0.994853220728,0.243558991129,0.946957124985,0.489240199137,0.577993736314,0.98822239578,0.44554659957,0.98937740271,0.93820409385,0.303086914888,0.444696606338,0.249692803913,0.897377016264,0.136943614756,0.757550994259,0.533195846499,0.0902639145092,0.340072879375,0.729830159029,0.535051169681,6825.0,0.169963369963,3.2380952381,0.221245421245,0.138021978022,0.0591941391941,0.190183150183,0.043663003663,0.0720879120879,0.0108424908425,0.169084249084,0.0306227106227,0.00395604395604,0.00131868131868,A member of Parliament falls passionately in love with his son's fiancée despite the dangers of discovery.,R,True,English,Damage,"UK, France","David Hare (screenplay), Josephine Hart (novel)",,6.9,Louis Malle,22 Jan 1993,1992,Nominated for 1 Oscar. Another 6 wins & 4 nominations.,111,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxNDkwMjg2MV5BMl5BanBnXkFtZTcwNTIyMzMzMQ@@._V1_SX300.jpg,"12,384",tt0104237,Jeremy Irons, Juliette Binoche,Drama, Romance
Snow Flower and the Secret Fan 2011.txt,0.798480178475,0.85237011385,0.251294153919,0.252948332026,0.624040217803,0.230451055336,0.517092080333,0.807416056482,0.151767834812,0.752287769725,0.994319137964,0.370503636507,0.965022424103,0.644799530925,0.288781406541,0.981291174678,0.671928925566,0.989317279953,0.963303158112,0.532761793016,0.646784210543,0.224149814882,0.886449601892,0.22300388532,0.859510948999,0.453960868731,0.294583020475,0.111869225854,0.812565213802,0.152200942886,5323.0,0.195942137892,3.29100131505,0.205335337216,0.169829043772,0.0490325004697,0.192936314109,0.0405786210783,0.0702611309412,0.0170956227691,0.161187300395,0.0323126056735,0.003569415743,0.00469659966184,A story set in nineteenth-century China and focusing on the life-long friendship between two girls who develop their own secret code as a way to contend with the rigid social norms imposed on women.,PG-13,True,English,Snow Flower and the Secret Fan,"China, USA","Angela Workman (screenplay), Ronald Bass (screenplay), Michael Ray (screenplay), Lisa See (novel)",42.0,6.1,Wayne Wang,24 Jun 2011,2011,1 win & 1 nomination.,120,http://ia.media-imdb.com/images/M/MV5BMTU2NzEzNTYzNl5BMl5BanBnXkFtZTcwOTU4MTA3NA@@._V1_SX300.jpg,"3,031",tt1541995,Russell Wong, Bingbing Li,Drama, History
Silent Partner 2005.txt,0.180682616669,0.191744834162,0.132939663296,0.752135919073,0.285031305866,0.404826390236,0.257542714651,0.505406928391,0.38450740403,0.159055205126,0.722016865092,0.0819256296537,0.2378321993,0.152803308354,0.291755053715,0.548373986922,0.682061623886,0.702613085309,0.281350783175,0.705584076017,0.719482888022,0.603932399466,0.906127691629,0.268621093506,0.28595662021,0.505077664662,0.641981151214,0.041668830796,0.38416680385,0.125473639081,7765.0,0.192916934965,3.29079201545,0.179523502898,0.220605280103,0.0565357372827,0.21390856407,0.0443013522215,0.056406954282,0.0158403090792,0.0994204764971,0.0274307791372,0.00927237604636,0.0084996780425,"Gordon Patrick (Nick Moran), a young CIA analyst is assigned to investigate the mysterious death of a major Russian political figure.",,True,English,Silent Partner,"Russia, USA","James D. Deck, Chris Larsen",,4.8,James D. Deck,26 May 2005,2005,,96,https://images-na.ssl-images-amazon.com/images/M/MV5BMTIwODY5OTczMF5BMl5BanBnXkFtZTcwMjk3MjQzMQ@@._V1_SX300.jpg,614,tt0457475,Tara Reid, Nick Moran,Action, Crime
Darkman 1990.txt,0.404681432948,0.718180073841,0.569842865463,0.430465297482,0.347091561916,0.131610164175,0.0995513897931,0.327377615646,0.254270742148,0.717132307142,0.977764767254,0.157147620091,0.739855482209,0.43293633561,0.460978576393,0.828979734705,0.13010382231,0.954237011862,0.583784177611,0.266808220695,0.819257536429,0.0618326968063,0.960517992051,0.512592996924,0.789415397045,0.622471817507,0.190168662478,0.0967527341992,0.491103763063,0.661047023627,5760.0,0.209895833333,3.296875,0.186805555556,0.181770833333,0.0493055555556,0.217534722222,0.0373263888889,0.0652777777778,0.0109375,0.142708333333,0.0262152777778,0.00590277777778,0.0121527777778,A brilliant scientist left for dead returns to exact revenge on the people who burned him alive.,R,True,English,Darkman,USA,"Sam Raimi (story), Chuck Pfarrer (screenplay), Sam Raimi (screenplay), Ivan Raimi (screenplay), Daniel Goldin (screenplay), Joshua Goldin (screenplay)",65.0,6.4,Sam Raimi,24 Aug 1990,1990,2 wins & 7 nominations.,96,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc5MzUxMjk4NF5BMl5BanBnXkFtZTgwNTEzNDk4NjE@._V1_SX300.jpg,"48,314",tt0099365,Liam Neeson, Frances McDormand,Action, Crime
Insomnia 1997.txt,0.629936288742,0.722574998787,0.316013636943,0.448605942486,0.353080944803,0.171708680213,0.103832549388,0.405826829611,0.0444107066696,0.729821936023,0.987474240907,0.149253036502,0.779072148837,0.280363401559,0.502273204662,0.970036301228,0.263952755566,0.961137085788,0.852116508687,0.682197885761,0.217144193251,0.144348361868,0.889470805041,0.0845226896253,0.286675740379,0.488955364658,0.413366644725,0.0325960035904,0.203034164747,0.192157152975,5265.0,0.207027540361,3.43190883191,0.221462488129,0.177777777778,0.0545109211776,0.176258309592,0.0412155745489,0.0717948717949,0.0153846153846,0.126495726496,0.0353276353276,0.00702754036087,0.00626780626781,Two Los Angeles homicide detectives are dispatched to a northern town where the sun doesn't set to investigate the methodical murder of a local teen.,R,True,English,Insomnia,"USA, Canada","Hillary Seitz (screenplay), Nikolaj Frobenius, Erik Skjoldbjærg",78.0,7.2,Christopher Nolan,24 May 2002,2002,1 win & 10 nominations.,118,https://images-na.ssl-images-amazon.com/images/M/MV5BMTM5Nzk2NDY3MF5BMl5BanBnXkFtZTgwMzI5MDgxMTE@._V1_SX300.jpg,"222,030",tt0278504,Al Pacino, Martin Donovan,Drama, Mystery
On the Double 1961.txt,0.538383412053,0.769068992776,0.334137241766,0.393034093348,0.552003144407,0.215480812517,0.319788823325,0.460222071703,0.135855414725,0.854120931982,0.958694085845,0.149044950083,0.662144949026,0.217726366282,0.456456182613,0.970212807853,0.443471353435,0.800980432138,0.663793382644,0.393419406446,0.771743144665,0.174004493277,0.993096622597,0.355170324519,0.840572766536,0.507104615401,0.226046909575,0.381880441512,0.359386460322,0.793364844262,12736.0,0.161432160804,3.40711369347,0.175408291457,0.19016959799,0.0626570351759,0.214745603015,0.050722361809,0.0570037688442,0.0160961055276,0.114557160804,0.0246545226131,0.00423994974874,0.0162531407035,"At the time of the Invasion of Normandy, an American soldier is asked to impersonate a British General in order to confuse the Nazi spies and assassins in London.",APPROVED,True,English,On the Double,USA,"Jack Rose, Melville Shavelson",,6.6,Melville Shavelson,26 Oct 1961,1961,,92,http://ia.media-imdb.com/images/M/MV5BMTU1Nzk1MjM3OF5BMl5BanBnXkFtZTgwNjA5Nzk1MDE@._V1_SX300.jpg,416,tt0055253,Danny Kaye, Dana Wynter,Adventure, Comedy
Reno 911 Miami 2007.txt,0.237075230082,0.652066698651,0.130556537479,0.675508115945,0.371512553222,0.136941762068,0.245395110072,0.713745033239,0.270220269841,0.747560290775,0.95291149274,0.0491593080759,0.354532430697,0.159889716009,0.346401583795,0.510862119673,0.697448615895,0.88970336133,0.287826797328,0.374781666263,0.953034372572,0.682057921177,0.716545215019,0.114369939016,0.627373703123,0.253203499135,0.168095181967,0.134030870602,0.801360954884,0.396608839745,15577.0,0.132631443795,2.90319060153,0.152917763369,0.209026128266,0.0424985555627,0.274828272453,0.0461577967516,0.0482121075945,0.0110419207806,0.114527829492,0.0257430827502,0.00500738267959,0.015728317391,A rag-tag team of Reno cops are called in to save the day after a terrorist attack disrupts a national police convention in Miami Beach during spring break. Based on the Comedy Central series.,R,True,English,Reno 911!: Miami,USA,"Robert Ben Garant, Thomas Lennon, Kerri Kenney, Robert Ben Garant (TV series), Thomas Lennon (TV series), Kerri Kenney (TV series)",47.0,5.9,Robert Ben Garant,23 Feb 2007,2007,1 nomination.,84,https://images-na.ssl-images-amazon.com/images/M/MV5BNjkwOTk3MTAyNV5BMl5BanBnXkFtZTcwNjY5NzkyMw@@._V1_SX300.jpg,"24,055",tt0499554,Lennie Loftin, Danny DeVito,Comedy, Crime
