,Dutifulness,Cooperation,Self-consciousness,Orderliness,Achievement striving,Self-efficacy,Activity level,Self-discipline,Excitement-seeking,Cautiousness,Morality,Anxiety,Emotionality,Vulnerability,Immoderation,Sympathy,Friendliness,Modesty,Altruism,Assertiveness,Adventurousness,Gregariousness,Intellect,Imagination,Artistic interests,Depression,Anger,Trust,Cheerfulness,Liberalism,Rated,Language,Country,Director,Year,Genre,Runtime,imdbVotes,Actors1,Actors2,Words,DiversityW,Verb/Noun,Zipf
Jason Bourne,0.551259169,0.526863225,0.061196895,0.535450915,0.673603079,0.544922927,0.641475515,0.792724444,0.171380878,0.771964625,0.927096979,0.029231978,0.418980787,0.049322626,0.158276454,0.895696685,0.796849888,0.813093476,0.706981744,0.895416615,0.777121223,0.594281358,0.935536022,0.105474924,0.200430761,0.290355774,0.229226704,0.33803585,0.496277782,0.170168384,PG-13,"English, German","UK, China, USA",Paul Greengrass,2016,"Action, Thriller",123,78018,Matt Damon, Tommy Lee Jones,4902,0.271929825,1.269471799,0.905150383
Willy Wonka & the Chocolate Factory,0.508145049,0.714470599,0.173025597,0.810508248,0.309594146,0.399417162,0.180600575,0.60240015,0.25409315,0.780936368,0.949321046,0.04054736,0.424024825,0.093100025,0.634245909,0.765116804,0.536748427,0.875315687,0.673763018,0.622903554,0.793054517,0.607094596,0.927287596,0.334475057,0.721197766,0.3518854,0.100288888,0.188061759,0.363719398,0.400432014,G,"English, French, German",USA,Mel Stuart,1971,"Family, Fantasy, Musical",100,132049,Gene Wilder, Jack Albertson,9037,0.225849286,1.425365344,0.878171399
Like Dandelion Dust,0.597787021,0.876910756,0.025683612,0.809682465,0.572525278,0.225274524,0.2775412,0.904724923,0.14282321,0.807413647,0.994705748,0.012972141,0.505042417,0.079509429,0.274189832,0.79931762,0.920073093,0.994778837,0.816413697,0.685905589,0.781801885,0.891217954,0.547639351,0.005940919,0.324359764,0.142300258,0.064372629,0.156498526,0.945426193,0.015825096,PG-13,English,USA,Jon Gunn,2009,Drama,100,2330,Mira Sorvino, Barry Pepper,7683,0.169465053,1.242613636,0.893777252
Damage,0.79062233,0.865054101,0.113893701,0.405495646,0.437763369,0.307105516,0.289118523,0.665978868,0.122165614,0.806245102,0.968184727,0.142638784,0.879940904,0.210687049,0.430847391,0.986874734,0.787260648,0.952990245,0.962361547,0.731446473,0.285406776,0.674783672,0.813452603,0.102487604,0.508871964,0.263853259,0.154053812,0.353855576,0.771746749,0.153874399,R,"English, French, German, Italian","UK, France",Louis Malle,1992,"Drama, Romance",111,12384,Jeremy Irons, Juliette Binoche,4884,0.247338247,1.040657439,0.90598436
Hot Shots,0.290359886,0.485006897,0.097464364,0.810650934,0.359641841,0.477480804,0.285439519,0.600614934,0.446541998,0.525432849,0.833121643,0.051431869,0.406526538,0.102080046,0.446467206,0.75078857,0.799892992,0.666799674,0.509042784,0.661120127,0.779523767,0.737356973,0.874604922,0.46013683,0.586442953,0.325175538,0.255034515,0.2446609,0.667715131,0.243645407,APPROVED,English,USA,Jean Yarbrough,1956,Comedy,62,85,Huntz Hall, Stanley Clements,6143,0.281458571,1.708505367,0.856816415
The Standoff,0.586546903,0.790749737,0.169171851,0.436958673,0.247946463,0.127585022,0.15597851,0.556087554,0.138327328,0.812818651,0.940919391,0.080852737,0.549650048,0.250701902,0.515678243,0.65947464,0.608416039,0.951964821,0.715747465,0.545197019,0.646704075,0.668144449,0.617493989,0.025918392,0.363813871,0.272155478,0.137170997,0.199966681,0.641476736,0.236896511,UNRATED,English,USA,Michael Thomas Dunn,1999,"Short, Action, Adventure",N/A,108,Joe Granato, Michael Thomas Dunn,10780,0.182282004,1.269348491,0.863376923
Silent Partner,0.182953023,0.19477951,0.13510668,0.74423725,0.284163427,0.40662777,0.25228277,0.497547404,0.376756856,0.157778374,0.726093153,0.084470203,0.24930192,0.157534005,0.302126038,0.557120705,0.676433139,0.705749885,0.291313712,0.704277253,0.714971907,0.600250314,0.903665853,0.265827617,0.288440926,0.513691852,0.63866332,0.041472271,0.382885719,0.123097186,N/A,"English, Russian","Russia, USA",James D. Deck,2005,"Action, Crime",96,614,Tara Reid, Nick Moran,5809,0.24703047,1.634517767,0.89997956
Will Penny,0.277310655,0.570948605,0.039362445,0.944749105,0.321445902,0.39049529,0.198158363,0.777313422,0.293561224,0.740559945,0.963881654,0.010569702,0.26597676,0.028375473,0.386926285,0.410105436,0.780598718,0.865230186,0.384138477,0.756659978,0.674646213,0.814523512,0.692973144,0.095514655,0.33986058,0.13128988,0.094664278,0.059391626,0.751092847,0.021301871,APPROVED,English,USA,Tom Gries,1967,"Romance, Western",108,3000,Charlton Heston, Joan Hackett,6413,0.218462498,1.352765321,0.879819613
Jason X,0.081213275,0.21333949,0.267814073,0.750014354,0.424567166,0.852518606,0.447274216,0.428478278,0.674960813,0.205530626,0.423148942,0.2041795,0.22861247,0.181592911,0.143716033,0.494572255,0.745635427,0.335932959,0.36664297,0.778685245,0.820732057,0.600199649,0.489136447,0.644042503,0.334234712,0.427053862,0.756706866,0.266885592,0.527239428,0.097044215,R,English,"USA, Canada",James Isaac,2001,"Action, Horror, Sci-Fi",91,39350,Kane Hodder, Jeff Geddis,4551,0.308723358,1.798901099,0.827462716
Zid,0.54348835,0.659641173,0.077174562,0.45952903,0.356850697,0.275075059,0.282464857,0.549915533,0.276382923,0.376438177,0.931100019,0.357029281,0.945572263,0.472980107,0.304723374,0.986027563,0.94029051,0.986438719,0.974343197,0.655241663,0.384165389,0.772411041,0.588951812,0.126353454,0.471919957,0.405195218,0.474287278,0.126738231,0.881177582,0.046903311,N/A,Hindi,India,Vivek Agnihotri,2014,"Crime, Thriller",126,705,Mannara, Karanvir Sharma,7159,0.177538762,1.29563614,0.892554038
Insomnia,0.641684664,0.730222451,0.316429593,0.445999374,0.354619708,0.17018522,0.1038889,0.413913609,0.041417941,0.743076002,0.988181635,0.149590424,0.790904185,0.284179481,0.492408707,0.971352704,0.261514298,0.963535827,0.856628738,0.68006888,0.2137584,0.142546417,0.880883369,0.07756132,0.284493621,0.489415749,0.412122252,0.032956227,0.207746334,0.191044191,R,English,"USA, Canada",Christopher Nolan,2002,"Drama, Mystery, Thriller",118,222030,Al Pacino, Martin Donovan,4096,0.256347656,1.075203252,0.893893899
Only Lovers Left Alive,0.523584627,0.900625298,0.212801946,0.654464466,0.223775657,0.085192526,0.116352207,0.477053968,0.20450011,0.769569314,0.947803851,0.127424435,0.709770993,0.242520137,0.531823539,0.853669141,0.625509245,0.966609844,0.694873692,0.293841433,0.754321747,0.643640277,0.902862125,0.283110381,0.85798522,0.391315286,0.106781828,0.311783523,0.575820723,0.501775847,R,"English, French, Arabic, Turkish","Germany, UK, France, Greece, USA, Cyprus",Jim Jarmusch,2013,"Comedy, Drama, Horror",123,62363,Tilda Swinton, Tom Hiddleston,5310,0.253295669,1.495256167,0.874552671
United 93,0.633485413,0.687327184,0.01186537,0.911278124,0.726037803,0.646313232,0.582421167,0.960257522,0.093937895,0.945041146,0.961504358,0.003294124,0.155422007,0.004464359,0.123703609,0.449404849,0.908899689,0.723584578,0.345609324,0.880657879,0.847520409,0.771826751,0.873724702,0.021512191,0.211301009,0.086444762,0.085499056,0.340615892,0.707394424,0.146116555,R,"English, Arabic, German","USA, UK, France",Paul Greengrass,2006,"Drama, History, Thriller",111,84359,J.J. Johnson, Gary Commock,11822,0.145660633,1.501196172,0.885238805
Norway,0.182758951,0.363929975,0.067394416,0.71838103,0.205515074,0.319297683,0.160403565,0.45172558,0.651862154,0.258815334,0.844363378,0.118294116,0.61262731,0.103968571,0.674832344,0.758201686,0.826744314,0.823435857,0.698535595,0.658235923,0.755311152,0.920508508,0.869303534,0.564817265,0.708238975,0.382330451,0.265153508,0.131251731,0.734105817,0.267259213,N/A,Greek,Greece,Yannis Veslemes,2014,"Comedy, Drama, Fantasy",73,302,Daniel Bolda, Yannis Bostantzoglou,2636,0.312974203,1.348837209,0.915725165
Vikingdom,0.456817275,0.479254782,0.270494739,0.598777688,0.425595496,0.359175574,0.421093422,0.428976671,0.346106373,0.50667053,0.852346503,0.167129165,0.801802315,0.246941878,0.271042457,0.986429987,0.52457128,0.938390065,0.88710586,0.642899263,0.530932691,0.217903189,0.988966107,0.698740652,0.911424509,0.639269687,0.231644575,0.245395276,0.425888405,0.169317125,N/A,"English, Mandarin","Malaysia, USA",Yusry Abd Halim,2013,"Action, Adventure, Fantasy",114,2735,Dominic Purcell, Natassia Malthe,5923,0.24008104,1.386831276,0.914212982
Private Detective: Two Plus Two Plus One,0.501968409,0.382682494,0.27242974,0.391912289,0.185106398,0.278538056,0.075374618,0.258252033,0.204097409,0.355023894,0.943632885,0.236793785,0.81227364,0.307318493,0.427635622,0.951306235,0.318239897,0.956933134,0.902418157,0.720121236,0.298375287,0.173794555,0.843782655,0.335875057,0.262196055,0.611472397,0.439880305,0.009919806,0.310919386,0.033196563,N/A,Hindi,India,Rajat Kapoor,1997,Mystery,130,43,Shambhavi Kaul, Keneth Desai,6972,0.220596672,0.951428571,0.900826413
Fletch Lives,0.442009698,0.630627367,0.061671065,0.781614557,0.512365136,0.509607853,0.300868611,0.721557513,0.255817347,0.71305193,0.942052919,0.04707013,0.64625371,0.07312462,0.464107383,0.933674406,0.851826787,0.732847546,0.786750505,0.731968552,0.667822474,0.700086907,0.922520471,0.304052584,0.67236588,0.174060549,0.209654393,0.202702075,0.731855575,0.210366321,PG,English,USA,Michael Ritchie,1989,"Comedy, Mystery, Crime",95,15468,Chevy Chase, Hal Holbrook,9988,0.238285943,1.56002009,0.898413748
Kung Fu Panda,0.491237548,0.78456659,0.401416009,0.664756183,0.329428475,0.180597522,0.100837441,0.538513612,0.220994485,0.823787698,0.940578778,0.057793834,0.416740171,0.159770913,0.215216431,0.821316694,0.240603238,0.961961196,0.646030166,0.37651601,0.912714412,0.108246538,0.955345476,0.523019443,0.744535479,0.415856381,0.081979233,0.216291812,0.43097609,0.407647843,PG,English,USA,"Mark Osborne, John Stevenson",2008,"Animation, Action, Adventure",92,311115,Jack Black, Dustin Hoffman,5473,0.236981546,1.258339798,0.875157595
Vigilante Diaries,0.042923437,0.151664613,0.040146992,0.872621548,0.155076586,0.271342855,0.156348525,0.578055735,0.589598108,0.227259692,0.53441409,0.027597519,0.150597835,0.041012154,0.466549243,0.215146837,0.857024652,0.406475754,0.173347889,0.78859833,0.872657569,0.93869983,0.737905415,0.334427354,0.401972973,0.160093282,0.256104263,0.071173191,0.823072848,0.200887084,R,"English, French",USA,Christian Sesma,2016,Action,107,2322,Jason Mewes, Quinton 'Rampage' Jackson,7423,0.212313081,1.350534928,0.879647225
Eat the Rich,0.178030975,0.388063748,0.083712913,0.650406461,0.170408882,0.184808285,0.148407157,0.359802596,0.4090543,0.367234915,0.785128421,0.090841189,0.443624764,0.12150789,0.597660087,0.786405146,0.763837806,0.736251717,0.525773334,0.601502133,0.766349608,0.832579272,0.888915216,0.355358745,0.633148191,0.383680883,0.377477522,0.17386519,0.596563003,0.398559648,R,English,UK,Peter Richardson,1987,"Action, Comedy, Crime",90,1022,Kevin Allen, Ronald Allen,5984,0.255347594,1.615120275,0.894932796
Universal Soldier: Day of Reckoning,0.433520138,0.634048639,0.084979169,0.694323054,0.34178283,0.24841874,0.271703164,0.591880251,0.251713308,0.655185551,0.958710414,0.067427296,0.817653644,0.178484978,0.265750362,0.927070567,0.793385985,0.974709986,0.889803968,0.733741571,0.701166975,0.736535998,0.794345911,0.152341535,0.539726128,0.365863766,0.150702389,0.122780391,0.736137878,0.057736417,R,English,USA,John Hyams,2012,"Action, Horror, Mystery",114,16292,Jean-Claude Van Damme, Dolph Lundgren,2954,0.297224103,1.172155689,0.89385111
Jaws: The Revenge,0.427381504,0.616195672,0.030773908,0.883606227,0.415043811,0.412237496,0.27873061,0.810451974,0.421322819,0.724527356,0.926472563,0.022388203,0.455823596,0.038486259,0.497014484,0.667609595,0.935012356,0.904674776,0.696787746,0.759722815,0.787138705,0.95072479,0.665408563,0.106819529,0.375321821,0.116941277,0.094033601,0.161170477,0.872870024,0.070861904,PG-13,English,USA,Joseph Sargent,1987,"Adventure, Horror, Thriller",89,31253,Lorraine Gary, Lance Guest,6297,0.235826584,1.413919414,0.848495795
Jaws,0.24745227,0.353229418,0.036972182,0.888429946,0.485062782,0.526009581,0.376638732,0.757583743,0.439668059,0.657716401,0.841967466,0.016406938,0.318878224,0.03216376,0.584301613,0.573939611,0.839742776,0.683427201,0.43803689,0.801871399,0.91047736,0.853694906,0.932321925,0.317212282,0.414120307,0.204436207,0.16840022,0.147110466,0.5102052,0.251837584,PG,English,USA,Steven Spielberg,1975,"Adventure, Drama, Thriller",124,417370,Roy Scheider, Robert Shaw,8189,0.232018561,1.492628993,0.89354812
Hotel Chevalier,0.091593337,0.252719446,0.376005091,0.65225526,0.235228493,0.752585848,0.273638062,0.382392946,0.799683974,0.148026701,0.447457463,0.386187932,0.522246238,0.481087832,0.48163263,0.077960311,0.630666267,0.665043373,0.334009195,0.759195631,0.381206904,0.823137,0.148668987,0.199321194,0.154148486,0.466433671,0.81983362,0.227003591,0.746269233,0.167321897,R,"English, French","USA, France",Wes Anderson,2007,"Short, Drama, Romance",13,23592,Jason Schwartzman, Natalie Portman,289,0.615916955,1.50877193,0.87047107
Inside the Living Body,0.380181832,0.683573612,0.898707939,0.58265073,0.462189406,0.704748444,0.561287108,0.148004425,0.38351019,0.839358555,0.641294627,0.463748689,0.865144938,0.536142969,0.269776989,0.96284652,0.048031414,0.571762259,0.950138168,0.680494592,0.775979789,0.004643972,0.995779183,0.985810196,0.982869616,0.917632415,0.188430716,0.485337997,0.00661631,0.997126435,N/A,English,UK,Martin Williams,2007,Documentary,90,164,Howard Ward, Ellie-Jo Brooks,6585,0.270918755,1.526271893,0.919565057
Insidious: Chapter 2,0.604066533,0.786498257,0.116613493,0.561332326,0.333268253,0.158829529,0.171423437,0.646595456,0.144119415,0.691935219,0.983792109,0.105533214,0.798774042,0.243003952,0.324992577,0.933202426,0.741472767,0.994077687,0.918815161,0.564364658,0.619083831,0.646889678,0.648434426,0.082065871,0.473222224,0.330630761,0.160427985,0.092525833,0.750955876,0.046376634,PG-13,English,"USA, Canada",James Wan,2013,"Fantasy, Horror, Thriller",106,111459,Patrick Wilson, Rose Byrne,4956,0.215496368,1.196521739,0.875195509
Jawbreaker,0.457585217,0.776427913,0.169352767,0.577263968,0.264212069,0.151581939,0.089796403,0.547939538,0.147525927,0.712391143,0.928107537,0.231302,0.784702978,0.367799002,0.528384621,0.934167422,0.619830994,0.951570356,0.836210823,0.531660342,0.460764319,0.558760081,0.858515411,0.119466021,0.788471277,0.286934264,0.298607634,0.078140477,0.659472635,0.458450709,R,English,USA,Darren Stein,1999,"Comedy, Crime, Thriller",87,18964,Rose McGowan, Rebecca Gayheart,6606,0.226914926,1.463675214,0.870053965
16 Wishes,0.440193713,0.677334846,0.054948698,0.672231638,0.282819909,0.230544231,0.255487924,0.743583656,0.424231866,0.536742617,0.948458362,0.080738394,0.710861355,0.182503274,0.412983956,0.617345162,0.886690678,0.954770592,0.781677084,0.653904113,0.811915114,0.949413925,0.574804655,0.120642577,0.598629213,0.207536063,0.164038032,0.143953695,0.914323395,0.086407786,G,English,"Canada, USA",Peter DeLuise,2010,"Drama, Family, Fantasy",90,8018,Debby Ryan, Jean-Luc Bilodeau,9106,0.166922908,1.271160669,0.874968378
The SpongeBob Movie: Sponge Out of Water,0.554964269,0.864996652,0.199580098,0.926337685,0.377629682,0.386323296,0.089365612,0.797225383,0.245544124,0.950559149,0.964521535,0.013060063,0.328626279,0.04462813,0.284270087,0.598346324,0.573700668,0.867050013,0.71433648,0.559086976,0.946399776,0.488455423,0.735667574,0.188989439,0.679674582,0.072112331,0.01192863,0.291730331,0.746668481,0.437491151,PG,English,USA,"Paul Tibbitt, Mike Mitchell",2015,"Animation, Adventure, Comedy",92,35174,Antonio Banderas, Eric Bauza,6902,0.229498696,1.638554217,0.85030815
Not Another Teen Movie,0.29834348,0.461953161,0.036737181,0.71507575,0.293462192,0.439127082,0.250694159,0.679310068,0.466663208,0.393908507,0.769648038,0.087983602,0.479833589,0.14641868,0.627870186,0.625236623,0.92926677,0.671643678,0.678553321,0.818798881,0.656048802,0.957094018,0.650039937,0.128596704,0.429667073,0.16377524,0.342095752,0.143130242,0.839832477,0.1560362,R,English,USA,Joel Gallen,2001,Comedy,89,81234,Chyler Leigh, Chris Evans,5911,0.268990019,1.461662631,0.879637078
Corner Gas: The Movie,0.369772574,0.722456035,0.057386237,0.744036793,0.393363851,0.272316532,0.271364669,0.681772276,0.208936636,0.719200566,0.934558368,0.0235627,0.257469335,0.07362313,0.525582757,0.649028093,0.793519268,0.795055047,0.510337731,0.648473783,0.870264465,0.863289023,0.817439843,0.06552792,0.4467179,0.187179173,0.120436507,0.232750217,0.626380017,0.287356913,N/A,English,Canada,David Storey,2014,Comedy,90,1269,Brent Butt, Gabrielle Miller,11895,0.199327449,1.424543288,0.8694439
Videodrome,0.385654354,0.627225339,0.30793834,0.642190292,0.361730537,0.298701152,0.219296822,0.512902108,0.254328484,0.691148647,0.924912278,0.104158276,0.609308138,0.197152671,0.36899004,0.756212776,0.430963189,0.899031775,0.664363008,0.65816244,0.920724688,0.266110268,0.948899,0.537670052,0.662491562,0.432479943,0.162404388,0.153237458,0.343097273,0.497559279,R,English,Canada,David Cronenberg,1983,"Horror, Mystery, Sci-Fi",87,61836,James Woods, Sonja Smits,5445,0.247566575,1.367724868,0.896767603
Easy Virtue,0.548925078,0.712946761,0.304466894,0.586791098,0.424791653,0.317905435,0.213273501,0.435242813,0.208812906,0.720449166,0.922070262,0.282520035,0.834963477,0.319560508,0.543044056,0.980920704,0.493226322,0.876967637,0.888357333,0.535400848,0.348131835,0.297482447,0.932613914,0.465085341,0.796597072,0.513420117,0.438518024,0.230808594,0.373349054,0.442356681,PG-13,"English, French","UK, Canada",Stephan Elliott,2008,"Comedy, Romance",97,16527,Jessica Biel, Ben Barnes,8960,0.270982143,1.548494983,0.906228695
Eating Out: All You Can Eat,0.149812658,0.373308627,0.101385748,0.457007785,0.150701847,0.15126343,0.120377808,0.322036423,0.399057323,0.252609232,0.625779844,0.186652978,0.588204139,0.343148563,0.77067045,0.613862506,0.777320405,0.813466027,0.635609706,0.73767442,0.596374235,0.894554945,0.649635864,0.092109833,0.378718033,0.461149104,0.417800516,0.087119297,0.692282531,0.311379793,NOT RATED,"English, Vietnamese",USA,Glenn Gaylord,2009,"Comedy, Drama, Romance",80,2429,Rebekah Kochan, Daniel Skelton,7794,0.218373108,1.264810427,0.872913865
Like Crazy,0.726643361,0.933389007,0.137742769,0.433129987,0.407011634,0.121543973,0.32080559,0.631875925,0.124829311,0.826031301,0.973274883,0.145774513,0.795166939,0.342825707,0.406260204,0.93368025,0.744291301,0.987235228,0.907458829,0.447537659,0.676962455,0.699508866,0.756993983,0.07796314,0.704407281,0.371649792,0.107598982,0.396340932,0.777793109,0.310144817,PG-13,English,USA,Drake Doremus,2011,"Drama, Romance",86,47454,Anton Yelchin, Felicity Jones,6706,0.199671936,1.255704698,0.874284457
Eating Out 2: Sloppy Seconds,0.011447914,0.0554673,0.802358627,0.48888313,0.249674661,0.91599448,0.306826836,0.025285175,0.902084741,0.033372426,0.031097895,0.944603944,0.66263333,0.845695923,0.310933806,0.740699963,0.303845319,0.05645947,0.543008949,0.705719795,0.324123922,0.293034767,0.245516882,0.950508661,0.660988458,0.881951178,0.995428032,0.149722617,0.332949943,0.403870045,NOT RATED,English,USA,Phillip J. Bartell,2006,"Comedy, Romance",79,3090,Jim Verraros, Emily Brooke Hands,6038,0.441040079,1.985365854,0.828102355
Video Games: The Movie,0.486935745,0.693464439,0.855078694,0.249966407,0.217450977,0.115489517,0.304904173,0.080010183,0.142238848,0.820242427,0.464245439,0.255299254,0.39984716,0.390720513,0.589894451,0.784345795,0.096836749,0.509165135,0.528470929,0.487826094,0.727779411,0.09829482,0.996816016,0.793650795,0.863654854,0.813270555,0.047796693,0.730281654,0.034909883,0.995841992,N/A,English,USA,Jeremy Snead,2014,"Documentary, Animation, History",101,4516,Sean Astin, Al Alcorn,14074,0.178414097,1.226750261,0.9005682
Angels Fall,0.490922041,0.719917949,0.11047279,0.628558507,0.275275644,0.198146365,0.107367417,0.522494494,0.155663453,0.669094353,0.966000818,0.064773844,0.629620327,0.155156521,0.623119297,0.846274919,0.658672329,0.940516728,0.785719385,0.649218008,0.578689292,0.64043048,0.787750516,0.064119404,0.378752696,0.279259918,0.177593054,0.077921307,0.553818632,0.172675933,TV-14,English,USA,Ralph Hemecker,2007,"Drama, Romance, Thriller",90,1456,Heather Locklear, Johnathon Schaech,8167,0.20264479,1.175307322,0.900069425
Rigor Mortis,0.56072604,0.716957174,0.139677284,0.805751624,0.432322216,0.328305538,0.264541396,0.740368384,0.149485281,0.876209607,0.973683025,0.059747592,0.605362763,0.106619036,0.526759574,0.878940323,0.564716239,0.968843977,0.751427315,0.735699342,0.568960855,0.430328512,0.824341133,0.152129951,0.545157547,0.35876159,0.092119572,0.144309559,0.501602486,0.18039082,N/A,Cantonese,Hong Kong,Juno Mak,2013,"Action, Horror",103,4028,Anthony Chan, Siu-Ho Chin,3411,0.286426268,1.15936255,0.906091428
Wind Chill,0.509416315,0.772011754,0.042527652,0.742652784,0.419002052,0.326325243,0.318012712,0.81959758,0.238979986,0.879997162,0.967909082,0.022773534,0.400574832,0.071102975,0.315540229,0.529201775,0.876791485,0.951937875,0.576696439,0.647182581,0.821261401,0.897680227,0.605725808,0.023705348,0.308764524,0.152895421,0.063271494,0.243502754,0.76876004,0.09200823,R,English,"USA, UK",Gregory Jacobs,2007,"Drama, Horror, Thriller",91,17771,Emily Blunt, Ashton Holmes,4968,0.229066023,1.087436333,0.875299164
